edad,trabajo,estado_civil,educacion,impago,saldo,hipoteca,prestamo,contacto,día,mes,duracion,contactos_campana,dias_ultimo_contacto,contactos_previos,resultado_campana_previa,respuesta
30,desempleado,casado,primaria,no,1787,no,no,cellular,19,oct,79,1,-1,0,unknown,no
33,servicios,casado,secundaria,no,4789,yes,yes,cellular,11,may,220,1,339,4,failure,no
35,gerente,soltero,terciaria,no,1350,yes,no,cellular,16,apr,185,1,330,1,failure,no
30,gerente,casado,terciaria,no,1476,yes,yes,unknown,3,jun,199,4,-1,0,unknown,no
59,obrero,casado,secundaria,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
35,gerente,soltero,terciaria,no,747,no,no,cellular,23,feb,141,2,176,3,failure,no
36,autonomo,casado,terciaria,no,307,yes,no,cellular,14,may,341,1,330,2,other,no
39,tecnico,casado,secundaria,no,147,yes,no,cellular,6,may,151,2,-1,0,unknown,no
41,emprendedor,casado,terciaria,no,221,yes,no,unknown,14,may,57,2,-1,0,unknown,no
43,servicios,casado,primaria,no,-88,yes,yes,cellular,17,apr,313,1,147,2,failure,no
39,servicios,casado,secundaria,no,9374,yes,no,unknown,20,may,273,1,-1,0,unknown,no
43,administrativo,casado,secundaria,no,264,yes,no,cellular,17,apr,113,2,-1,0,unknown,no
36,tecnico,casado,terciaria,no,1109,no,no,cellular,13,aug,328,2,-1,0,unknown,no
20,estudiante,soltero,secundaria,no,502,no,no,cellular,30,apr,261,1,-1,0,unknown,yes
31,obrero,casado,secundaria,no,360,yes,yes,cellular,29,jan,89,1,241,1,failure,no
40,gerente,casado,terciaria,no,194,no,yes,cellular,29,aug,189,2,-1,0,unknown,no
56,tecnico,casado,secundaria,no,4073,no,no,cellular,27,aug,239,5,-1,0,unknown,no
37,administrativo,soltero,terciaria,no,2317,yes,no,cellular,20,apr,114,1,152,2,failure,no
25,obrero,soltero,primaria,no,-221,yes,no,unknown,23,may,250,1,-1,0,unknown,no
31,servicios,casado,secundaria,no,132,no,no,cellular,7,jul,148,1,152,1,other,no
38,gerente,divorciado,desconocido,no,0,yes,no,cellular,18,nov,96,2,-1,0,unknown,no
42,gerente,divorciado,terciaria,no,16,no,no,cellular,19,nov,140,3,-1,0,unknown,no
44,servicios,soltero,secundaria,no,106,no,no,unknown,12,jun,109,2,-1,0,unknown,no
44,emprendedor,casado,secundaria,no,93,no,no,cellular,7,jul,125,2,-1,0,unknown,no
26,ama_de_casa,casado,terciaria,no,543,no,no,cellular,30,jan,169,3,-1,0,unknown,no
41,gerente,casado,terciaria,no,5883,no,no,cellular,20,nov,182,2,-1,0,unknown,no
55,obrero,casado,primaria,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
67,jubilado,casado,desconocido,no,696,no,no,telephone,17,aug,119,1,105,2,failure,no
56,autonomo,casado,secundaria,no,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,no
53,administrativo,casado,secundaria,no,105,no,yes,cellular,21,aug,74,2,-1,0,unknown,no
68,jubilado,divorciado,secundaria,no,4189,no,no,telephone,14,jul,897,2,-1,0,unknown,yes
31,tecnico,casado,secundaria,no,171,no,no,cellular,27,aug,81,3,-1,0,unknown,no
59,gerente,casado,secundaria,no,42,no,no,cellular,21,nov,40,1,-1,0,unknown,no
32,gerente,soltero,terciaria,no,2536,yes,no,cellular,26,aug,958,6,-1,0,unknown,yes
49,tecnico,casado,terciaria,no,1235,no,no,cellular,13,aug,354,3,-1,0,unknown,yes
42,administrativo,divorciado,secundaria,no,1811,yes,no,unknown,14,may,150,1,-1,0,unknown,no
78,jubilado,divorciado,primaria,no,229,no,no,telephone,22,oct,97,1,-1,0,unknown,yes
32,obrero,casado,secundaria,no,2089,yes,no,cellular,14,nov,132,1,-1,0,unknown,yes
33,gerente,casado,secundaria,no,3935,yes,no,cellular,6,may,765,1,342,2,failure,yes
23,servicios,soltero,terciaria,no,363,yes,no,unknown,30,may,16,18,-1,0,unknown,no
38,gerente,soltero,terciaria,no,11971,yes,no,unknown,17,nov,609,2,101,3,failure,no
36,gerente,soltero,terciaria,no,553,no,no,cellular,11,aug,106,2,-1,0,unknown,no
52,obrero,casado,secundaria,no,1117,yes,no,cellular,13,may,365,1,-1,0,unknown,no
32,tecnico,casado,terciaria,no,396,yes,no,cellular,13,may,205,3,-1,0,unknown,no
32,tecnico,soltero,terciaria,no,2204,yes,no,cellular,21,nov,11,4,-1,0,unknown,no
34,gerente,soltero,terciaria,no,872,yes,no,unknown,7,may,105,2,-1,0,unknown,no
55,obrero,casado,primaria,no,145,no,no,telephone,2,feb,59,3,5,2,other,no
26,obrero,casado,primaria,no,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no
32,emprendedor,soltero,primaria,yes,-849,yes,yes,cellular,4,feb,204,1,-1,0,unknown,no
61,administrativo,casado,desconocido,no,4629,yes,no,cellular,27,jan,181,1,92,1,success,yes
45,obrero,divorciado,primaria,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes
37,tecnico,soltero,secundaria,no,228,yes,no,cellular,20,aug,1740,2,-1,0,unknown,no
38,tecnico,soltero,secundaria,no,50,no,no,cellular,29,aug,98,2,-1,0,unknown,no
34,tecnico,casado,terciaria,no,1539,yes,no,cellular,15,jun,441,1,56,1,other,yes
53,obrero,casado,secundaria,no,2231,yes,no,cellular,14,jul,272,3,-1,0,unknown,no
48,administrativo,casado,secundaria,no,3064,yes,no,telephone,15,jul,159,2,-1,0,unknown,no
57,gerente,casado,secundaria,no,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no
33,autonomo,soltero,terciaria,no,2155,no,no,cellular,17,nov,295,1,-1,0,unknown,no
36,jubilado,soltero,secundaria,no,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no
54,tecnico,divorciado,secundaria,no,784,yes,yes,unknown,15,may,579,1,-1,0,unknown,no
